도서명,저자,출판사,출판일,정가,판매가,도서 소개,판매지수,평점,책 이미지 URL
돈이 어렵지 않은 어른이 된다는 것,시골쥐,웅진지식하우스,2024-11-05,18000,16200,"<B>2,000만 뷰, 29만 재테크 채널 〈시골쥐의 도시생활〉<br/>꾸준함을 무기로 경제적 자유에 다가간<br/>시골쥐의 치열하고 현실적인 재테크 성공기 </B><br/><br/>2030 사회 초년생의 무한 신뢰와 지지를 받는 재테크 크리에이터 시골쥐가 첫 책을 출간했다. 『돈이 어렵지 않은 어른이 된다는 것』은 시골쥐가 이십 대를 지나오며 쌓인 돈에 관련한 경험과 생각들을 담은 책이자 지금의 시골쥐를 만든 재테크 노하우를 알려주는 책이다. 0원에서 2억, 2억에서 ‘내 집 마련’ 성공한 시골쥐의 스토리에 주식과 코인 투자로 큰",17388,9.3,
돈의 역사는 되풀이된다,홍춘욱,포르체,2021-06-16,18000,16200,"<b>돈의 주도권을 잡으려면 돈의 흐름을 읽어야 한다!<br/><br/>돈 공부만 28년, 국내 최고의 이코노미스트! <br/>홍춘욱 박사가 들려주는 ‘현실’ 경제수업과 최고의 투자법</b><br/><br/>『돈의 역사는 되풀이된다』 국내 최고의 이코노미스트 홍춘욱 박사가 돈 공부만 28년 한 모든 노하우를 담아 경제 흐름과 부동산, 주식, 투자에 필요한 현실적인 조언, 즉 돈의 흐름을 읽는 법을 담았다. 돈의 주도권을 잡기 위해서 우리는 반드시 돈의 흐름을 읽는 법을 알아야 한다. 홍춘욱 박사는 아들에게 물려줄 부의 유산으로 ‘돈",4200,9.1,
맘마미아 푼돈목돈 재테크 실천법,맘마미아,진서원,2020-11-06,15000,13500,"<b>70만 회원 열광! <br/>5년 연속 베스트셀러 전면개정판 출간!</b><br/><br/>재테크 초보자들을 열광시킨 『맘마미아 푼돈목돈 재테크 실천법』이 전면개정판으로 강력하게 돌아왔다. 개정판은 절약저축 기본기부터 제휴 마케팅, 출자금통장, 채권투자, 세관공매, 미국 배당주 등 새로운 비법과 성공사례로 한층 더 업그레이드하였다. 이 책은 네이버 No.1 재테크 카페인 ‘월급쟁이 재테크 연구’(월재연)에서 진행된 ‘푼돈이 목돈 된다!’ 하루 1번 외치기 미션에서 시작되었다. 소소하게 회원들의 실천을 유도하고자 시도한 일인데 ",774,9.7,
30대 맞벌이 부부의 30억 부동산 재테크,홍사장 · 김여사,델피노,2021-05-12,16800,15120,"<b>“진정한 맞벌이로 자산 가치를 올려라!” <br/>30대 부부가 맞벌이로 30억 원의 자산을 이루다.</b><br/><br/>바야흐로 맞벌이 전성시대다. 불과 30~40년 전만 해도 외벌이 하는 가정이 많았다. 남편이 밖에 나가 돈을 벌어오면 아내는 생활비를 타서 쓰며 가정경제를 꾸렸다. 지금은 높은 교육 수준, 자기계발에 대한 욕구로 남자, 여자의 성 역할 구분이 사라졌다. 남자가 돈을 벌어오고 여자는 살림만 하는 그런 고리타분한 사고방식은 더 이상 없다. 남녀가 결혼해도 각자 원래 하고 있던 일을 놓지 않는다. 맞벌이가 대",156,9.3,
하루 영어 한 문장 100일 쓰기(감성고전편),이지은,한빛비즈,2025-02-21,18000,16200,"<B>감성 고전 속 영어 명문장 필사로 시작하는 가벼운 영어 공부<br/>교과서 편집자 출신 지니쌤의 동기부여 에세이+정석 영어 구문 설명<br/>챗GPT가 패러프레이징 해주는 ‘같은 의미 다른 문장들’ </B><br/>  <br/>작심삼일러도 끝내 성공할 수 있는 영어 공부법이 있다.  매일 조금씩 쓰기만 하면 되는 '하루 영어 한 문장 100일 쓰기' 빨강머리 앤, 피터 래빗, 이상한 나라의 앨리스 등 추억 속 명작의 문장을 필사하면서 영어 실력도 쌓고, 감성도 충전할 수 있는 기적의 루틴! 100일만 지나면 영어 공부가 습관이",8061,10.0,
월 500만 원 따박따박 받는 공간대여 재테크,김선달,매일경제신문사,2025-02-05,18000,16200,<B>내 집 없이 시작하는 공간대여업의 모든 것<br/>따라 하면 완성되는 돈이 되는 공간 만들기</B><br/><br/>적은 돈과 시간으로 시작할 수 있는 요즘 가장 핫한 부업은 뭘까? ‘내 집 없이’ 누구나 시도할 수 있는 공간대여가 주목받고 있다. 공간대여업은 내가 소유하고 있거나 임차한 공간을 다른 사람에게 빌려주고 수익을 내는 사업이다. 결코 넓고 거창한 공간일 필요 없다. 위치와 용도 등 각 공간이 가진 장단점을 파악해 잘 살릴 수 있다면 10평 남짓 공간에서도 매월 500만 원이 넘는 제2의 월급을 벌 수 있다. 저자는,5844,9.8,
세계 자기계발 필독서 50,"톰 버틀러 보던,이정은,전원미",센시오,2024-02-22,23000,20700,"<B>벤저민 프랭클린상 수상,<br/>〈포워드〉 선정 올해의 책!<br/>전 세계 23개 국 출간!<br/><br/>350년 자기계발서 역사상 최고의 명저 50 권을 한 권에 </b><br/><br/>데일 카네기에서 찰스 두히그까지 자기계발 명저 50권을 한 권에 정리한 책이 출간됐다. 수없이 쏟아져 나오는 자기계발서의 원류라 평가 받는 명저 50권을 엄선해 한 권당 10분이면 읽을 수 있도록 핵심만 추려 쉽게 소개하는 책이다. 저자는 이 분야의 진정한 학자로 평가받는 톰 버틀러 보던이다. 이 책은 세계 20여 개국 넘는 언어로 출",810,9.9,
2024 대한민국 재테크 트렌드,조선일보 경제부,원앤원북스,2024-03-07,22000,19800,"<b>조선일보 ‘2024 대한민국 재테크 박람회’를 책으로 만나다!<br/>경제 전망, 부동산, 금융, 노후 등<br/>당신이 궁금해하는 재테크의 모든 것을 담다!</b><br/><br/>이 책은 2014년 이후 매년 조선일보에서 주최하고 있는 ‘2024 대한민국 재테크 박람회’에서 강연한 내용을 다듬고 보강해 엮은 책이다. 시장 전망, 금융 및 부동산 투자 전망, 노후 전략에 대해 현직 최고의 투자 전문가 13명의 메시지를 담았다. <br/><br/>1부에서는 2024년 시장을 전망한다. 김영익 서강대 경제대학원 교수는 경제 전망",216,9.9,
난생처음 재테크,정환용,매일경제신문사,2017-09-20,18000,16200,"<b>어려운 글과 표로 보는 ‘복잡한’ 재테크는 가라! <br/>이제 더 이상의 ‘텅장’은 없다</b><br/><br/>사회초년생을 위한 재테크 책은 많다. 그러나 첫 페이지부터 보이는 어려운 용어와 너무나 긴 글이 ‘난생처음’ 재테크를 시작하려는 이들에겐 낯설다. 결국 1장만 읽고 책을 덮어 버리거나, 겨우겨우 읽어도 머릿속에 아무것도 남지 않는다. 그래서 ‘2030 SNS 재테크 전도사’ 정환용이 나섰다. 이 책은 페이스북에서 10만 팔로워가 열광한 “정환용의 부의방정식”을 통해 재테크 카드뉴스를 바탕으로 내용을 보강해 엮은 책",48,8.8,
모르면 호구 되는 재테크상식,이현우,한스미디어,2023-02-15,17000,15300,"<b>스쳐 지나가는 월급만으로는 버틸 수 없다!<br/>호구들은 모르지만, 슈퍼 리치들은 다 알고 있는 <br/>‘돈 버는 기초 재테크상식’ 완벽 해설!<br/><br/>열정은 있지만, 상식은 없는<br/>초보 중에 왕 초보들을 위한<br/>가성비 갑 재테크상식 60<br/></b><br/>고등학교 동창 녀석 하나는 일전에 샀던 미국 기업 주식이 대박이 났다던데…, 영업부 동기 김 대리는 청약으로 당첨된 아파트가 벌써 3배나 뛰었다던데…, 그나저나 이번 달 월급 타면 또 적자네? 모이기만 하면 주식에 펀드에 부동산에 죄다 재테크 이",1440,8.0,
자기계발 불변의 법칙,김현두,좋은날들,2024-09-15,17000,15300,"<b>지금 바로 실행하는 사람이 모든 걸 얻는다!<br/>마인드셋부터 계획, 미친 실행력까지 압도적인 성장에 꼭 필요한 것들</b><br/><br/>왜 자기계발서를 아무리 읽어도 삶은 그대로일까? <br/>왜 나의 결심은 이토록 오래가지 못하는 걸까? <br/>꼭 이루고 싶은 꿈이 있고 꾸준히 노력하는데도 달라지는 게 없다면 김현두 코치의 이야기는 당신의 삶을 뿌리째 바꿔주기에 충분하다.<br/><br/>이 책은 자기계발의 원리와 최적의 방법론을 누구에게나 적용할 수 있게끔 정리했다. 인생을 바꾸는 5가지 마인드셋부터 미친 실행력의",1878,9.7,
자기계발의 말들,재수,유유,2023-10-04,14000,12600,"‘자기계발’은 대한민국에서 꽤 오랜 시간 트렌드로서 자리 잡고 있다. 흔히 말하듯 ‘열심히’ 뭐든지 최선을 다하는 것이 자기계발일까? 건강한 자기계발이란 도대체 무엇일까? ‘똘망똘망 다람이’ 이모티콘의 제작자이자, ‘재수의 연습장’ SNS 계정에 끊임없이 새롭고 독창적인 그림을 선보이며 일상의 빛나는 순간을 포착하는 만화가 재수 작가가 이번 신작 에세이에서는 ‘건강한’ 자기계발이 무엇인지에 관해 이야기한다. 『자기계발의 말들』에는 갖가지 연습과 활동을 즐기는 저자가 꼼꼼히 읽은 책들에서 길어 올린 문장을 담았다. 그리고 어떻게 단정",264,8.9,
돈 나올 데가 월급밖에 없는 당신을 위한 진짜 쉬운 재테크,우용표,이데일리,2025-03-07,18700,17760,"<b>모은 돈? 0원! 재테크? 1도 몰라! 그래도 OK~<br/>월급만 받으면 바로 시작할 수 있는 투자 플랜!</b><br/><br/>돈 관리의 길에 갓 들어선 사회 초년생, 투자 초보를 위한 진짜 쉬운 재테크<br/><br/>100세까지 이어질 돈 관리를 위해 읽어야 할 인생 첫 책. 취직만 하면 모든 것이 해결될 줄 알았건만, 웬걸? 어지간한 ‘탯줄’을 붙들고 태어난 것이 아니고야 취직을 했다는 것, 사회에 첫발을 내딛는 것은 100세까지 이어질 길고 긴 ‘내가 벌어 먹고살기 - 자가 양육’의 시작임을 깨닫게 되는 데는 그리",570,9.8,
데일 카네기 365일 자기계발 일력,아르누보,아르누보,2023-11-01,25000,9900,"<b>‘성공은 물론 행복까지 얻는 방법’에 대해<br/>명쾌한 해답을 담은 『데일 카네기 365일 자기계발 일력』과 함께<br/>이번 한 해도 행복하게!</b><br/><br/>『데일 카네기 365일 자기계발 일력』은 매일 한 장씩 넘겨볼 수 있는 데일리 캘린더다. 20세기 이후 최초의 자기계발서라고 불리는 데일 카네기의 저서 중 인간의 가장 본질적인 고민이자 걱정거리인 친구를 만드는 법, 사람을 다루는 법, 대화하는 법, 스트레스에서 벗어나는 법 등에 대한 해답을 담은 5권의 저서 속 명언을 일력에 담았다. 어디에 두어도 잘 어울",1524,8.7,
자기계발과 인성,박일순,한올출판사,2021-03-10,19800,19800,이 책은 지금까지 자신이 살아온 삶을 성찰하는 것에서 출발한다. 그리고 자신의 현재 상황을 어떻게 진단하여 자기계발과 진로설계를 해야 되는 지에 대한 방향과 방법을 찾게 해 줄 것이다. 또한 획일적인 삶(사회적 성공)이 아닌 다양한 삶(나의 행복)에 대해서도 생각해보면 진로설계와 인성함양을 하는데 큰 도움이 될 것이다.,162,2.0,
아기곰의 재테크 불변의 법칙,아기곰,아라크네,2021-06-20,19000,17100,"<b>아기곰이 개정판으로 책을 낸 이유?<br/>“재테크 불변의 법칙은 여전히 유효하기 때문이다”</b><br/><br/> 수많은 부동산 전문가들의 멘토, 아기곰이 4년 만에 『아기곰의 재테크 불변의 법칙-전면 개정 리프레시』를 내놓았다. 『아기곰의 재테크 불변의 법칙』의 전신인 『How to Make Big Money』가 2003년에 나온 이후 14년이 지난 2017년에 전면 개정판 형식으로 나왔는데, 그 후 매년 새로운 데이터로 책은 업데이트되어 왔다. 최신의 흐름을 책 속에 담고자 한 것이다. <br/><br/> 이번 개정판에",5904,9.2,
2025 재테크의 여왕 슈엔슈 자산관리 가계부 (저자 친필 사인 한정판),슈엔슈,참돌,2024-09-30,17000,15300,"<b>일상 재테크의 시작인 가계부 쓰기!<br/>돈을 모으고 싶은 당신, 경제적 자유를 꿈꾸는 당신을 위해<br/>13만 블로거 슈엔슈의 자산관리 비법이 담긴<br/>《2025 재테크의 여왕 슈엔슈 자산관리 가계부》를 전격 공개합니다!</B><br/><br/>베스트셀러 《전업맘, 재테크로 매년 3000만 원 벌다》의 작가이자, 영향력 있는 재테크 파워 블로거로 유명한 ‘재테크의 여왕 슈엔슈’! 13만 구독자를 보유하고 있는 슈엔슈가 단순히 수입 지출 내역을 기록하는 일반 가계부가 아닌, ‘미리 계획하고 나눠 쓰는 가계부’ 쓰기를 제",7188,9.4,
월 10만 원 그림 투자 재테크,한혜미,쌤앤파커스,2021-03-10,16000,14400,"<b>월 10만 원으로 취향을 가꾸면서 재테크도 한다고?</b><br/><br/>나만의 라이프스타일을 찾고 싶은가? 가치가 급등락하지 않는 안전자산을 선호하는가? 세금 계산이 골치 아픈가? 일상을 예술로 채우고 싶은가? 이 모든 것을 충족시키는 그림투자 재테크는 ‘일상을 벗어날 수 있는 예술 활동’인 동시에 ‘일상에 가장 충실할 수 있는 재테크’라는 점에서 매력적이다. 안전성, 수익성, 환금성 면에서 최고라고 평가받는 그림투자에 입문하고 싶다면 국내 탑 아트딜러가 안내하는 ≪월 10만 원 그림투자 재테크≫를 지금 당장 펼쳐보자.",204,9.6,
요니나의 월급쟁이 재테크,김나연,스마트북스,2020-11-02,16000,14400,"<b>1,400만 뷰 파워블로거, 2030 재테크 멘토 ‘요니나’의 쉽고 현실적인 재테크 꿀팁 총정리</b><br/><br/>누적 방문자 수 1,400만 명의 네이버 블로그 ‘요니나의 방바닥 노마드’, 회원 수 36,000여 명의 인기 재테크 카페 ‘재:시작’의 운영자인 요니나의 사회초년생을 위한 재테크 방법을 알려주는 책이다. 현재는 2030 재테크 멘토로 활발하게 활동 중인 저자의 재테크 경험을 바탕으로 실생활에서 지금 당장 실천할 수 있는 현실적인 돈 관리 핵심 노하우만 담았다. <br/><br/>월급이 적다고 걱정할 필요도 ",120,9.9,
잘 쓰기 위한 재테크,토리텔러,북스톤,2020-04-22,15000,13500,"<b>소비에는 빠삭하지만 <br/>관리에는 젬병인 직장인을 위한 <br/>세상 쉬운 재테크 사용법</b><br/><br/>경제공부를 하고 재테크에 뛰어드는 20~30대가 크게 늘었다. 월급을 아껴서 저축하는 걸로는 내집마련이나 노후대비가 불가능하다는 생각 때문이다. 하지만 월급은 빤한데 아직 재테크 노하우를 잘 모르는 사회초년생이라면 재테크 책마다 제시하는 종잣돈에 손이 떨리기 마련이다. 목돈부터 만들어야 한다는 생각에 허리띠를 졸라매 보지만, 나갈 돈은 많고 소비습관도 바꾸기 어려워 중도에 포기하기 일쑤다.<br/><br/>이 책",162,8.9,
월급쟁이 재테크 상식사전,우용표,길벗,2025-02-26,19800,17820,"<B>“이보다 쉬운 직장인 재테크 책이 있을까?”<br/>연말정산, 주식, ETF, 부동산… 틈틈이 읽고 바로 써먹는 기적의 돈 공부!</B><br/><br/>*** 결혼, 자가, 노후를 위한 재테크 목적별 포트폴리오! ***<br/>*** 생생한 재무설계 사례 수록! ***<br/><br/>18년 연속 베스트 ‘재테크 바이블’ 최신 개정판!<br/>직장인을 위한 최고의 경제 솔루션 66<br/><br/>100만 독자의 사랑을 받아온 경제 바이블 ‘상식사전’ 시리즈가 2022년 개정판 이후 변화된 시장의 상황과 새로운 정책, 꼭 알",12099,9.9,
재테크 거지,박재석,온짱,2024-02-01,18000,16200,<b>재테크 거지에서 재테크 부자로!<br/>최고의 특수물건(경매) 전문가가 알려주는 재테크 인사이트</b><br/><br/>2024년에는 경매시장에 '큰 장'이 열릴 것이란 분석이 나오고 있다. 지난해 고금리 기조가 이어지면서 경매물건들이 시장에 쏟아졌다. 투자의 기본은 싸게 매입해서 비싸게 파는 것이다. 법원 경매는 일종의 할인 매장이기 때문에 매입가를 낮출 수 있는 좋은 방법이다. 경매 중에서도 특수물건 경매는 좋은 물건은 더 싸게 살 수 있는 기회를 준다. 그래서 이제는 발빠른 20대도 재테크 수단으로 경매를 찾기 시작했다.,144,9.9,
돈은 좋지만 재테크는 겁나는 너에게,뿅글이,황금부엉이,2023-02-01,16500,14850,"<b>""주변 사람들과 지금의 나를 비교할 필요는 없어요.<br> 여러분의 재테크 여정에 함께 할게요.""<br> <br> 16만 구독자가 닮고 싶어 하는 ‘뿅글이’의 첫 번째 재테크 에세이!<br> 재테크로 고민하는 Z세대에게 전하는 따스한 위로와 응원<br> </b><br> 재테크에 관한 진정성 있는 따뜻한 조언으로 Z세대의 마음을 사로잡은 유튜브 크리에이터 뿅글이. 다양한 재테크 노하우와 뿅글이의 성장 이야기를 담은 첫 책이 드디어 출간되었다. 뿅글이 채널의 영상에는 “뿅글님 영상은 늘 배울 게 많아요”, “항상 좋은 자극 많이 ",23118,9.3,
신神의 재테크 GPL아파트 담보대출로 매일매일 돈 벌어주는 남자,이상준,매일경제신문사,2022-06-30,18000,16200,"<B>금융 기관 31년 경력, GPL로<br/>연봉 10억 원 주인공이 안내하는 탐나는 재테크!</B><br/><br/>이상준 박사는 금융기관에서 31년간 근무했고, 지점장으로 조기 명예퇴직했다. 연봉 10억 원 수입을 발생시키는 플랫폼과 실전 투자금 10억 원 이상 GPL 투자, 그리고 다양한 NPL 경·공매로 매월 빌딩주만큼의 수입을 발생시키고 있다. <br/><br/>GPL은 금융기관의 2순위 근저당권 채권으로 매입 후 고율의 이자(연 14% 이상)를 받다가 1순위 대위변제로 수익을 얻거나 처음부터 2순위 후순위 대출에 투자하",180,9.0,
월급쟁이 가계부로 재테크하라,정병욱,매일경제신문사,2023-11-30,17000,15300,"<b>“돈 쓰지 말고 가계부를 써라!”<br> 1년에 5,000만 원 모은 월급쟁이가 알려주는 현명하게 돈 불리는 법<br> </b><br> 매달 월급 받는 직장인, 이제 막 돈을 벌기 시작한 사회초년생, 함께 살림을 꾸려가야 하는 신혼부부라면 돈을 아끼고 불리는 데 집중해야 한다. 새는 돈을 줄이고 가진 돈을 불리는 가장 좋은 방법은 가계부 쓰기다. 하지만 그저 수입과 지출만 정리하는 금전출납부 같은 가계부는 별 도움이 되지 않는다. 단순한 숫자 기록만으로는 통장 잔액이 텅 비는 ‘텅장’을 막을 수 없다. 저축이든 투자든 재테크에",270,9.8,
갓 결혼한 여자의 재테크,구채희,매일경제신문사,2019-02-01,14000,12600,"<b>결혼 3년차, 4억 자산을 모았다<br/>남들 돈 쓰는 시기에 돈을 불린 비결<br/></b><br/>주변에 결혼하는 커플들은 늘어만 가는데 오고가는 얘기는 ‘스드메’뿐이다. 도대체 다른 커플들은 ‘돈’ 문제를 어떻게 해결해나가고 있을까. 대학 동기는 가진 것 한 푼 없이 결혼해 5년 만에 제 집도 샀다는데, 도대체 뭘 어떻게 하고 있는 걸까. <br/><br/>일단 함께 살기로 결정했지만 어떻게 돈 관리를 할지 손대기조차 막막한 신혼부부들을 위해 저자가 나섰다. 저자는 결혼준비 과정에서 새어나가는 돈을 최소화하고, 결혼 후 ",180,9.1,
구독자 없이 시작하는 유튜브 재테크,문영상,열린인공지능,2024-12-18,10500,10500,"이 책은 유튜브를 통해 수익을 창출하고자 하는 초보자부터 채널 성장에 도전하는 중급 유튜버들을 위해 기획되었다. 유튜브라는 플랫폼을 선택한 이유와 그 가치를 설명하며, 채널 성장이 정체된 이유를 분석한다. 광고 수익 외에도 협찬, 제휴 마케팅, 제품 판매 등 다양한 수익화 전략을 구체적으로 소개한다. 구독자 확보와 유튜브 알고리즘 최적화 방법을 설명하며, 영상 제작에 도움이 되는 각종 AI 도구를 소개해 영상을 쉽게 제작하는 방법들을 알려주고 있다.",630,10.0,
인생을 바꾸는 봉지라면 재테크,김광주,원앤원북스,2024-06-27,18000,16200,"<b>투자는 몰라도 돈 걱정 없이 살고 싶다!<br/>투자, 봉지라면 끓이듯 쉽고 단순하게!</b><br/><br/>이 책은 어렵고 돈 벌기 힘든 개별주식이 아닌 자본주의 평균에 투자하는 ETF를 중심으로, 독자들의 입맛에 따라 쉽게 선택 가능한 10개의 봉지라면에 총 16개의 레시피를 제시했다. 각각의 레시피에 대한 기대수익률은 해당 포트폴리오에 대한 과거 수익률을 보수적으로 할인하여 적용했음에도 불구하고 연평균 8%에서 15%에 이르기까지 다양하다. 각각의 봉지라면은 독자들의 재정 형편에 따라 청년 세대의 자산증식은 물론 부모 ",4248,9.8,
월급 절반을 재테크하라,김민식,알에이치코리아(RHK),2025-02-10,19800,17820,"<B>“주식 투자도, 비트코인 투자도 나는 어려워요!”<br/>투자가 어렵고, 재테크는 막막한 이들을 위한 <br/>내 돈을 지키며, 모으는 가장 확실한 재테크 지침서</B><br/><br/>주식 투자나 비트코인 등 암호화폐 투자로 소위 대박을 냈다는 사람들을 보면 당장 뭐라도 투자에 뛰어들어야 할 것 같은 분위기이다. 하지만 아무리 들여다봐도 뭐가 정말 수익이 나서 돈을 벌게 해줄지 알 수 없고, 무작정 뛰어들었다가 애써 모은 돈마저 잃을까 불안하기도 하다. 이제 막 재테크를 시작하려고 하는 당신에게 필요한 건 우선 내 돈을 절대",6774,9.7,
우리 집 재테크를 부탁해,이지영,한국경제신문사(한경비피),2018-03-29,16000,14400,"한 권으로 끝내는 가정경제(소비, 자산, 투자)의 모든 것<br> ‘출발선이 다른 부자의 룰을 따라 하지 말 것!’ <br> 충동구매, 과소비, 적자인생에 맞서는 ‘우리 집 처음 돈 공부’<br> <br> 부자가 되려면 부자의 공식을 배우고 따라 해야 한다고들 말한다. 『부자의 ***』으로 시작하는 책 제목은 또 얼마나 많은가. 그러나 부자들은 서민들보다 돈, 시간, 정보를 압도적으로 많이 가지고 있다. 출발선이 이미 다른 상황에서 과연 부자의 룰을 따르는 것이 부자가 되는 길이 될 수 있을까? <br> <br> 평범한 우리 집에는",96,9.3,
