도서명,저자,출판사,출판일,정가,판매가,도서 소개,판매지수,평점,책 이미지 URL
"삶에 필요한 재테크, 쉽게 배우는 금융지식",전의진,바른북스,2023-02-10,15000,13500,"<B>“당신은 돈에 대해 얼마나 알고 있나요?”<br/>자본주의 세상에서 금융 문맹을 탈출하고 싶다면 읽어야 하는 책!<br/></B><br/>자본주의 세상에서 우리는 평생 돈을 벌고, 소비하며 살아간다. 따라서 돈의 속성에 대해 이해하고 이를 잘 활용할 수 있는 능력은 우리가 더욱 윤택한 삶을 살아가기 위한 필수 지식이 되었다. 경제가 점차 고도화되고 발전함에 따라 금융지식을 갖추고 실천하는 사람과 그렇지 않은 사람의 차이는 계속해서 벌어지고 있다. 이 책은 금융과 재테크에 관련된 기본 개념부터 시작해서, 어떻게 금융사를 활용해야",1050,9.5,
GPT와 인간 박사가 함께 보는 재테크의 기본서,"이태광,최희륜,챗GPT",좋은땅,2024-11-11,40000,36000,"<B>GPT와 박사가 협력하여 이 책을 집필한 이유는 명확하다: <br/>인공지능과 인간의 지혜가 결합할 때, 더 강력하고 실질적인 통찰을 제공할 수 있기 때문이다.</B><br/><br/>GPT는 인공지능의 최첨단 기술을 대표하는 존재로, 방대한 데이터베이스와 최신 정보를 실시간으로 분석할 수 있는 능력을 갖추고 있다. 이러한 능력 덕분에 GPT는 경제, 금융, 부동산 등 다양한 분야에서 발생하는 복잡한 데이터 패턴을 신속하게 파악하고, 이를 바탕으로 유의미한 결론을 도출해 낼 수 있다. 그러나 데이터와 정보만으로는 인간의 삶을 ",78,9.6,
브리태니커 만화 백과 : 돈과 재테크,봄봄스토리,미래엔아이세움,2018-03-13,11000,9900,"대한민국 대표 출판 교육 기업 미래엔, <br/>학습 만화 한류 열풍의 주인공 아이세움 학습만화, <br/>그리고 세계적인 권위를 자랑하는 백과사전, 브리태니커가 만났다!<br/><br/>우리는 지금 손쉽게 검색만으로 정보를 얻을 수 있는 정보 과잉의 시대를 살고 있습니다. 과연 이렇게 쉽게 얻은 정보 중에서 정말 필요한 지식, 믿을 수 있는 지식은 얼마나 될까요? 1768년 영국 스코틀랜드에서 시작된 ‘브리태니커 세계 대백과사전’은 230여 년간 15차례 개정을 하며 새롭게 등장한 지식을 추가하고 상세한 정보를 덧붙임으로써 세계에",300,9.9,
꼬마빌딩 레벨업 재테크,임동권,매일경제신문사,2023-10-06,18000,16200,"<b>저렴한 건물을 사서 임대수익과 시세차익,<br> 두 마리 토끼 잡는 빌딩 리모델링 재테크 안내서<br> </b><br> 꼬마빌딩 투자를 시작한 사람이라면 건물주에게 리모델링이 얼마나 중요한 개념인지 이미 알고 있을 것이다. 현재 우리가 서울 시내와 수도권에서 흔히 볼 수 있는 건물들은 지은 지 30~40년이 된 것들이다. 리모델링 없이는 답이 안 나온다. 여건상 신축만 고집할 수도 없다. 리모델링은 부동산 경기와 상관없이 실행할 수 있는 재테크 기법이다. 낡은 건물을 새 건물처럼 리모델링한다면 임대료와 건물가치를 상승시켜 재테",798,9.8,
맘마미아 푼돈목돈 재테크 실천법 + 맘마미아 월급 재테크 실천법,맘마미아,진서원,2020-11-06,33000,29700,"이 상품은 YES24에서 구성한 상품입니다.(낱개 반품 불가).<BR><br/><B>맘마미아 월급 재테크 실천법</B><BR>이 책대로 하면 당신도 월급쟁이 부자가 된다! 진짜 월급쟁이가 써서 신뢰도 200%  지난 4년간 끊임없이 베스트셀러에 오를 만큼 수많은 월급쟁이들의 공감과 지지를 받은 『맘마미아 월급재테크 실천법』이 전면개정판으로 강력하게 돌아왔다. 흙수저 월급쟁이로 시작했지만 꾸준한 재테크 실천으로 현재는 경제적 자유인이 된 이 책의 저자 맘마미아는, 자신이 직접 경험한 재테크 노하우를 공유하고자 ‘월급쟁이 재테크 연구’",0,9.7,
돈이 돈을 부르는 전업주부 재테크,김미옥,마음세상,2024-02-20,14500,13050,<b>천 원에서 소형 아파트 되는 날까지<br/>목돈 만드는 주식 부동산 소액투자<br/><br/>집에서 돈 버는 현명한 재테크</b><br/><br/>복권에 당첨된다면 부자가 될 수 있을까. 이 물음에 대답은 긍정적이지 못한 것이 현실이다. 복권 당첨 이전보다 더 어려운 삶을 살아가고 있는 사람들이 존재하니깐. 거액의 당첨금이 사라진 것은 지출 관리 문제에 있었다. 돈은 버는 것만큼 쓰는 것 역시 중요하다. 우리가 마주하는 수많은 시간 속에는 돈이 존재한다. 돈이 있어야 뭐라도 할 수 있는 것이 현실이다. 그 돈을 어떻게 잘 사용,72,6.0,
어려움을 현명하게 해결하는 법,"알랭 드 보통,인생학교,백현주",미래엔아이세움,2025-04-15,15000,13500,"<B>일상의 철학자, 알랭 드 보통과 함께하는 인생학교와 함께 <br/>인생의 어려움을 헤쳐 나갈 지혜를 배우다!<br/></b><br/>전 세계적인 사랑을 받는 철학자, 알랭 드 보통과 함께하는 인생학교에서 어떻게 살아야 할지 고민인 청소년들을 위한 『어려움을 현명하게 해결하는 법』을 출간했습니다. 앞서 꿈과 진로에 대해 고민이 많은 청소년을 위한 『뭐가 되고 싶냐는 어른들의 질문에 대답하는 법』, 마음이 힘들고 지친 청소년을 위한 『행복하냐는 질문에 대답할 수 없다면』에 이어, 이번에는 살면서 마주하는 크고 작은 어려움 앞에서 ",3489,10.0,
어린이를 위한 그릿,"전지은,이갑규,노규식",비즈니스북스,2017-12-21,12000,10800,"<b>버락 오바마, 빌 게이츠, 마크 저커버그 등이 강조한<br/>IQ, 재능을 뛰어넘는 ‘그릿’의 힘!<br/>SBS ‘영재발굴단’에서 2차례나 방송된 ‘그릿’의 비밀!<br/>이제 어린이의 꿈을 응원하는 어린이를 위한 동화로 읽는다! </b><br/><br/>성공은 스펙이나 환경 차이로 결정되는 것이 아니라 열정적 끈기에서 비롯된다는 내용을 밝힌 책 『그릿』은 버락 오바마, 빌 게이츠, 마크 저커버그가 극찬하며 세계적인 베스트셀러가 되었다. 성인을 위한 자기계발서 『그릿』은 출간 직후 직장인뿐 아니라 부모, 교사들의 열광적 지지",9153,9.6,
월급쟁이 재테크 상식사전 + 부동산 상식사전 + 경제 상식사전 세트,"김민구,우용표,백영록",길벗,2025-03-21,61800,55620,"이 상품은 YES24에서 구성한 상품입니다.(낱개 반품 불가).<BR><br/><B>[도서] 월급쟁이 재테크 상식사전 : 소중한 내 월급을 모으고 불리기 위한 최적의 솔루션 66 (2025년 개정판)</B><BR>“이보다 쉬운 직장인 재테크 책이 있을까?”<br/>연말정산, 주식, ETF, 부동산… 틈틈이 읽고 바로 써먹는 기적의 돈 공부!<br/><br/>*** 결혼, 자가, 노후를 위한 재테크 목적별 포트폴리오! ***<br/>*** 생생한 재무설계 사례 수록! ***<br/><br/>18년 연속 베스트 ‘재테크 바이블’ 최신 ",0,9.9,
내 월급에 딱 맞는 쪽집게 재테크,서혁노,원앤원북스,2020-02-22,16000,14400,"<b>“오늘도 내 월급이 통장에 스치운다”<br/>언제까지 월급만 탓하며 재테크를 미룰 것인가?<br/>현재 내 상황에 딱 맞는 맞춤 재무설계가 필요하다!<br/></b><br/>풍부한 재테크 사례와 금융정보가 가득한 『내 월급에 딱 맞는 쪽집게 재테크』가 출간되었다. 돈은 어떻게 모을 수 있을까? 이 질문에 많은 사람들이 답할 것이다. “정확한 소득을 파악하고, 꼼꼼하게 지출을 분석해 절약하고, 현명하게 소비하며, 그렇게 모은 돈을 불려간다.” 이렇듯 머리로는 누구나 알고 있지만 막상 실천하기 어려운 것이 바로 재무관리다. 저자는",84,9.6,
